id,discente,id_curso,nome_curso,id_turma,cod_componente,nome_componente,media_final,descricao,semestre
1,dd4dd392073c8bdc7fda4fdccb9d2c0f,2000026,ENGENHARIA DE COMPUTAÇÃO,57698487,DCA0125,SISTEMAS DE TEMPO REAL,10.0,APROVADO,2022.1
2,e4f9f7df8d723f03fd96727ee0e82513,2000026,ENGENHARIA DE COMPUTAÇÃO,57698487,DCA0125,SISTEMAS DE TEMPO REAL,10.0,APROVADO,2022.1
3,55ed3e03c852e2a26bc0c19f2c0ccf0f,2000026,ENGENHARIA DE COMPUTAÇÃO,57698487,DCA0125,SISTEMAS DE TEMPO REAL,10.0,APROVADO,2022.1
4,bf3e3c24191f79818c06dec48e5e7a3a,2000026,ENGENHARIA DE COMPUTAÇÃO,57698487,DCA0125,SISTEMAS DE TEMPO REAL,10.0,APROVADO,2022.1
5,8a534db45ac573077562d7bcee452b47,2000026,ENGENHARIA DE COMPUTAÇÃO,57698487,DCA0125,SISTEMAS DE TEMPO REAL,9.3,APROVADO,2022.1
6,105f0675d7e059ad4bf5c5613e5a31aa,2000026,ENGENHARIA DE COMPUTAÇÃO,57698487,DCA0125,SISTEMAS DE TEMPO REAL,8.5,APROVADO,2022.1
7,2eb7b2466a73988b6426ee75a6e1e683,2000026,ENGENHARIA DE COMPUTAÇÃO,57698487,DCA0125,SISTEMAS DE TEMPO REAL,8.5,APROVADO,2022.1
8,e3dac200d097d9abf11353e8878e4105,2000026,ENGENHARIA DE COMPUTAÇÃO,57698476,DCA0108,SISTEMAS OPERACIONAIS,7.0,APROVADO,2022.1
9,06fb17d8a371bdf2aca8c7bd6192f7fa,2000026,ENGENHARIA DE COMPUTAÇÃO,57698476,DCA0108,SISTEMAS OPERACIONAIS,0.0,REPROVADO,2022.1
10,fe51237cb640d302cc105f622fd980e2,2000026,ENGENHARIA DE COMPUTAÇÃO,57698476,DCA0108,SISTEMAS OPERACIONAIS,10.0,APROVADO,2022.1
11,407a6fcd54dbdea8bba92a3177a7ac72,2000026,ENGENHARIA DE COMPUTAÇÃO,57698476,DCA0108,SISTEMAS OPERACIONAIS,10.0,APROVADO,2022.1
12,dd4dd392073c8bdc7fda4fdccb9d2c0f,2000026,ENGENHARIA DE COMPUTAÇÃO,57698483,DCA0119,SISTEMAS DIGITAIS,8.8,APROVADO,2022.1
13,fe51237cb640d302cc105f622fd980e2,2000026,ENGENHARIA DE COMPUTAÇÃO,57698483,DCA0119,SISTEMAS DIGITAIS,9.5,APROVADO,2022.1
